FACID,FACNAME,CONTACT_PHONE_NUMBER,LATITUDE,LONGITUDE
10000034,GOLDEN LIVING CENTER - LONDON HOUSE SONOMA,(707) 938-1096,38.289115,-122.461706
10000080,UKIAH POST ACUTE,(707) 462-8864,39.130183,-123.208711
10000082,REDWOOD COVE HEALTHCARE CENTER,(707) 462-1436,39.135226,-123.209511
10000086,BAYBERRY HOUSE,(707) 252-6845,38.29613,-122.271171
10000087,BUTLER VALLEY,(707) 822-0301,40.870501,-124.081444
10000088,BUTLER VALLEY #2,(707) 442-7313,40.770027,-124.163652
10000089,"NEW HAVEN - ICF-DD -H, INCORPORATED",(707) 563-5875,38.142165,-122.230206
10000150,ADVENTIST HEALTH HOME CARE OF LAKE COUNTY,(707) 994-0737,38.915589,-122.612337
10000156,NORTHBAY HEALTH AT HOME,(707) 646-3575,38.226012,-122.132581
10000160,MILESTONES OF DEVELOPMENT #1,(707) 644-0496,38.116091,-122.205173
10000161,MILESTONES OF DEVELOPMENT #2,(707) 644-0430,38.113311,-122.206372
10000162,MILESTONES OF DEVELOPMENT #3,(707) 644-0496,38.114294,-122.202967
10000163,MILESTONES OF DEVELOPMENT #4,(707) 644-0496,38.114031,-122.210596
10000164,MILESTONES OF DEVELOPMENT #5,(707) 644-0496,38.115155,-122.20088
10000394,"BENNETT VALLEY ICF/DD-H, INC.",(707) 544-6465,38.425458,-122.672252
10000427,ADULTS IN COMMUNITY TRANSITIONS- ACT 1,(707) 279-8822,38.985085,-122.829085
30001495,BURGER PHYSICAL THERAPY & REHABILITATION,,38.562516,-121.769233
10000431,PETALUMA ICF/DDH,(707) 938-9195,38.291937,-122.484897
10000469,TLC ON LOMBARD,(707) 664-1356,38.328682,-122.692867
10000480,VELMA HOUSE,(707) 566-2200,38.452274,-122.766057
10000481,REDWOOD HOUSE,(707) 568-5881,38.505396,-122.758851
10000487,MAYETTE HOUSE,(707) 578-1877,38.443141,-122.667898
10000572,VICTORIA DRIVE HOUSE,(707) 579-2451,38.409241,-122.721995
10000585,FIFTY-O-ONE PARKHURST,(707) 538-4669,38.475921,-122.661077
10000596,ROBERTS ROAD HOUSE,(707) 792-2903,38.328903,-122.662551
10000598,SACRAMENTO HOUSE,(707) 575-8402,38.43646,-122.668043
10000620,MUSTARD SEED,(707) 448-7558,38.355498,-121.995606
10000643,PATHWAYS,(707) 428-1534,38.286681,-122.011141
10000646,"GENEVIE DREAM HOME, INC.",(707) 935-9411,38.321876,-122.48148
10000657,ESTES HOUSE,(707) 538-9675,38.48219,-122.668911
10000659,SUTTER COAST HOME CARE,(707) 464-8511,41.772663,-124.192814
10000673,DOUGLAS HOUSE,(707) 576-7720,38.437416,-122.672861
10000703,BAIRD HOUSE,(707) 539-6447,38.478694,-122.667552
40000691,FIREBAUGH FAMILY HEALTH CLINIC,(559) 659-3011,36.860449,-120.458149
10000743,TLC ON GARMONT,(707) 588-1943,38.369194,-122.685132
10000765,HOPE HOUSE,(707) 447-3590,38.399872,-121.933717
10000792,CROSSROADS,(707) 678-1802,38.458116,-121.834428
10000793,PATHWAYS 2,(707) 422-3061,38.284483,-122.011735
10000799,MY HOME,(707) 539-7435,38.467736,-122.683654
10000801,DANNY'S PLACE,(707) 836-8625,38.530536,-122.782719
10000822,BADGER CREEK,(707) 539-4191,38.482144,-122.676826
10000834,CALISTOGA HOUSE,(707) 538-9684,38.483732,-122.659436
10000860,GREENFIELDS I ICF-DDN,(707) 558-8149,38.117409,-122.198176
10000862,TLC ON LARCH,(707) 664-1356,38.325372,-122.699548
10000864,CROSSROADS II,(707) 693-1851,38.46178,-121.834077
10000907,GREENFIELDS II ICF-DDN,(707) 429-9774,38.270658,-122.058691
10000936,"SAN RAFAEL HEALTHCARE & WELLNESS CENTER, LP",(415) 456-7170,37.974862,-122.535364
10000938,KINDRED NURSING AND TRANSITIONAL CARE-SOUTH MARIN,(415) 461-9700,37.944051,-122.535775
10000959,RAFAEL CONVALESCENT HOSPITAL,(415) 479-3450,38.002947,-122.521329
10000966,HOSPICE BY THE BAY,(415) 927-2273,37.945292,-122.512638
40000043,GOLDEN LIVINGCENTER - HILLCREST,(559) 227-5383,36.78467,-119.772382
10000967,HOSPICE BY THE BAY- BRANCH,(707) 935-7504,38.292241,-122.460769
10000970,DEVON DRIVE HOME,(415) 499-1116,37.99683,-122.549319
10000972,ADRIAN WAY HOME,(415) 479-1858,38.010609,-122.519623
10000976,SUNRISE II,(415) 526-5307,37.997013,-122.543541
10000998,ABLE,(415) 492-8087,37.995649,-122.544764
10001001,MILES - CENTER ROAD HOUSE,(415) 897-4611,38.101946,-122.578964
10001011,RAE LANE HOUSE,(415) 897-0120,38.112812,-122.601062
10001031,STONEHAVEN,(415) 892-8232,38.112409,-122.607982
10001033,"NOVA HOUSE, INC.",(415) 479-6733,37.998513,-122.548606
10001124,MONTE VERDE,(707) 537-7024,38.470581,-122.643428
10001139,GREENFIELDS III ICF-DDN,(707) 643-3948,38.129155,-122.219112
10001142,MAXIM HEALTHCARE SERVICES,(707) 577-0910,38.44885,-122.732568
10001143,PARADISE VALLEY ICF/DD-H,(707) 425-2202,38.289728,-122.025842
20000042,KAISER PERMANENTE POST-ACUTE CARE CENTER,(510) 481-8575,37.692849,-122.106774
20000046,PARK MERRITT CARE CENTER,(510) 698-3555,37.798015,-122.249775
20000054,WILLOW TREE NURSING CENTER,(510) 261-2628,37.769839,-122.196289
20000076,ST FRANCIS EXTENDED CARE INC.,(510) 785-3630,37.669473,-122.118071
20000079,KINDRED NURSING AND REHABILITATION - MEDICAL HILL,(510) 832-3222,37.817961,-122.266285
20000091,PIEDMONT GARDENS HEALTH FACILITY,(510) 654-7172,37.826127,-122.251295
20000109,SUNSHINE ICF/DDH #2,(510) 785-9416,37.666581,-122.113531
20000125,GARFIELD NEUROBEHAVIORAL CENTER,(510) 261-9191,37.780755,-122.229148
20000135,BAY AREA HEALTHCARE CENTER,(510) 536-6512,37.795128,-122.245463
20000274,THE REHABILITATION CENTER OF OAKLAND,(510) 658-2041,37.826949,-122.255015
20000334,LITTLEFOOT HOUSE,(510) 770-0665,37.50586,-121.921172
20000348,SUNSHINE ICF//DDH #3,(510) 786-3977,37.64229,-122.102886
20000630,SERRA RESIDENTIAL CENTER - CRESTWOOD HOUSE,(510) 477-1000,37.516718,-121.95463
20000631,SERRA RESIDENTIAL CENTER - ELLEN HOUSE,(510) 656-2557,37.527001,-121.969019
20000647,PARK HOUSE,(510) 623-8231,37.534702,-121.987692
20000648,STANLEY HOUSE,(510) 597-0367,37.716716,-121.927465
20000677,SUNSHINE ICF/DDH #5,(925) 736-7913,37.68711,-122.11601
20000681,SUNSHINE ICF/DDH #6,(510) 276-7434,37.686973,-122.11601
20000813,SERRA CENTER VALPEY PARK HOUSE,(510) 226-6555,37.519487,-121.972043
20000836,RUUS MANOR,(510) 785-9933,37.622388,-122.064578
20000877,ELENA'S ICF/DD-H,(510) 785-8137,37.642397,-122.099951
40000686,FAMILY CARE,(209) 564-4500,37.292124,-120.472088
20000880,OAKLAND HEIGHTS NURSING AND REHABILITATION,(510) 534-3637,37.795262,-122.225232
20000960,BAHAMA HOME ICF/DDH,(510) 887-6677,37.626946,-122.101507
20000987,ELENA'S ICF/DD-H #2,(510) 785-3139,37.642458,-122.096568
20001052,SERRA CENTER SAN JUAN HOME,(510) 494-1514,37.560777,-122.021008
20001114,MAIN ICF/DD-N,(510)727-1518,37.679908,-122.089998
20001140,QUALITY HOME HEALTH CARE,(510) 558-9222,37.899595,-122.29952
20001146,ELENA'S ICF/DD-H #3,(510) 785-1515,37.643764,-122.0972
20001156,BARROW ICF/DD-N,(510) 352-8537,37.70544,-122.181301
20001157,SUNDALE,(925) 556-0782,37.715501,-121.917917
20001174,AMEDISYS HOME HEALTH CARE,(408) 370-3927,37.292538,-121.949831
20001179,BRIDLE ICF/DD-N,(510) 582-2873,37.67028,-122.044459
20001191,PORTSMOUTH ICF/DDH,(510) 783-5118,37.624897,-122.102018
20001198,LOYOLA ICF/DD-H,(510) 732-1823,37.626903,-122.093471
20001211,PROFESSIONAL HOME CARE ASSOCIATES - BRANCH,(510) 797-9299,37.678763,-121.782578
20001246,MISSION HOPE DEVELOPMENTAL SERVICES,(510) 780-0832,37.645745,-122.103271
20001250,BELLAKEN SKILLED NURSING CENTER,(510) 536-1838,37.792874,-122.221568
20001252,VESTAL HOUSE ICF/DD-H,(510) 614-7900,37.716028,-122.134173
20001258,BUILD HOME,(510) 845-2744,37.866517,-122.296118
20001263,MIKA'S HOME ICF/DD-H,(510) 324-4366,37.582504,-122.015255
20001272,PERLITA HOUSE,(510) 889-9179,37.688382,-122.05887
20001276,LEWIS HOUSE,(925) 560-0124,37.708697,-121.924112
20001280,CEI BERKELEY - BRANCH,(510) 433-1150,37.862827,-122.283161
20001284,RUUS HOME ICF/DD-H,(510) 293-3023,37.626317,-122.103701
20001289,NEAL'S HOME,(510) 784-0701,37.644766,-122.09915
20001292,JUSTIN'S HOME,(510) 475-0264,37.592238,-122.06683
30000023,SONORA REGIONAL MEDICAL CENTER D/P SNF (UNIT 6),(209) 536-5000,37.979487,-120.392818
30000050,MAIN WEST POSTACUTE CARE,(209) 667-2828,37.492663,-120.858581
30000079,OAKDALE NURSING AND REHABILITATION CENTER,(209) 848-5303,37.758973,-120.860901
30000088,RIVERBANK NURSING CENTER,(209) 869-2569,37.737029,-120.948361
30000117,DAMERON HOSPITAL,(209) 944-5550,37.961226,-121.300731
