CONDITION_,YEAR_,Geography,Total_Cases,Total_Rate
Mood Disorders,2010,Alpine,64,425.6734287
Mood Disorders,2011,Alpine,52,343.0305429
Mood Disorders,2012,Alpine,73,479.4430579
Mood Disorders,2013,Alpine,37,239.7149336
Mood Disorders,2010,Anza-Borrego Springs,20,450.4504505
Mood Disorders,2011,Anza-Borrego Springs,22,471.3949004
Mood Disorders,2012,Anza-Borrego Springs,16,323.1017771
Mood Disorders,2013,Anza-Borrego Springs,30,607.5334143
Mood Disorders,2010,Carlsbad,257,224.0393333
Mood Disorders,2011,Carlsbad,322,277.931225
Mood Disorders,2012,Carlsbad,308,262.2906146
Mood Disorders,2013,Carlsbad,341,288.4135563
Mood Disorders,2010,Central San Diego,1082,653.4960833
Mood Disorders,2011,Central San Diego,1049,632.0571683
Mood Disorders,2012,Central San Diego,1209,724.7332454
Mood Disorders,2013,Central San Diego,1070,637.6638856
Mood Disorders,2010,Chula Vista,482,418.2793273
Mood Disorders,2011,Chula Vista,475,409.7901012
Mood Disorders,2012,Chula Vista,516,442.5272077
Mood Disorders,2013,Chula Vista,499,428.7641454
Mood Disorders,2010,Coastal,204,270.6467662
Mood Disorders,2011,Coastal,238,315.0023162
Mood Disorders,2012,Coastal,212,279.3406507
Mood Disorders,2013,Coastal,193,253.9807869
Mood Disorders,2010,Coronado,37,149.8036358
Mood Disorders,2011,Coronado,42,180.0334348
Mood Disorders,2012,Coronado,41,176.8232199
Mood Disorders,2013,Coronado,44,189.646998
Mood Disorders,2010,Del Mar-Mira Mesa,286,181.5077839
Mood Disorders,2011,Del Mar-Mira Mesa,328,206.9635668
Mood Disorders,2012,Del Mar-Mira Mesa,268,167.4068799
Mood Disorders,2013,Del Mar-Mira Mesa,282,175.1770406
Mood Disorders,2010,El Cajon,438,351.7337745
Mood Disorders,2011,El Cajon,433,345.6727046
Mood Disorders,2012,El Cajon,474,376.0502035
Mood Disorders,2013,El Cajon,469,371.7589987
Mood Disorders,2010,Elliott-Navajo,259,290.6650506
Mood Disorders,2011,Elliott-Navajo,281,314.2298015
Mood Disorders,2012,Elliott-Navajo,269,298.0345233
Mood Disorders,2013,Elliott-Navajo,276,304.8544762
Mood Disorders,2010,Escondido,484,296.8942652
Mood Disorders,2011,Escondido,546,332.462598
Mood Disorders,2012,Escondido,624,377.1805752
Mood Disorders,2013,Escondido,595,358.5222856
Mood Disorders,2010,Fallbrook,134,283.2741417
Mood Disorders,2011,Fallbrook,130,271.5574866
Mood Disorders,2012,Fallbrook,105,217.991571
Mood Disorders,2013,Fallbrook,129,266.380325
Mood Disorders,2010,Harbison Crest/El Cajon,758,544.6536994
Mood Disorders,2011,Harbison Crest/El Cajon,813,580.5732893
