CONDITION_,YEAR_,Geography,Total_Cases,Total_Rate
Self Inflicted Injuries,2010,Alpine,9,59.86032591
Self Inflicted Injuries,2011,Alpine,9,59.37067089
Self Inflicted Injuries,2012,Alpine,16,105.08341
Self Inflicted Injuries,2013,Alpine,,
Self Inflicted Injuries,2010,Anza-Borrego Springs,,
Self Inflicted Injuries,2011,Anza-Borrego Springs,5,107.1352046
Self Inflicted Injuries,2012,Anza-Borrego Springs,5,100.9693053
Self Inflicted Injuries,2013,Anza-Borrego Springs,,
Self Inflicted Injuries,2010,Carlsbad,52,45.33091568
Self Inflicted Injuries,2011,Carlsbad,83,71.64065737
Self Inflicted Injuries,2012,Carlsbad,59,50.24398137
Self Inflicted Injuries,2013,Carlsbad,56,47.36410308
Self Inflicted Injuries,2010,Central San Diego,151,91.19954581
Self Inflicted Injuries,2011,Central San Diego,191,115.0838123
Self Inflicted Injuries,2012,Central San Diego,197,118.091356
Self Inflicted Injuries,2013,Central San Diego,217,129.3206198
Self Inflicted Injuries,2010,Chula Vista,118,102.4003332
Self Inflicted Injuries,2011,Chula Vista,114,98.34962429
Self Inflicted Injuries,2012,Chula Vista,108,92.62197371
Self Inflicted Injuries,2013,Chula Vista,91,78.19145737
Self Inflicted Injuries,2010,Coastal,33,43.78109453
Self Inflicted Injuries,2011,Coastal,38,50.29448746
Self Inflicted Injuries,2012,Coastal,41,54.02342772
Self Inflicted Injuries,2013,Coastal,33,43.42676668
Self Inflicted Injuries,2010,Coronado,,
Self Inflicted Injuries,2011,Coronado,11,47.15161387
Self Inflicted Injuries,2012,Coronado,10,43.12761461
Self Inflicted Injuries,2013,Coronado,,
Self Inflicted Injuries,2010,Del Mar-Mira Mesa,46,29.19355965
Self Inflicted Injuries,2011,Del Mar-Mira Mesa,53,33.44228367
Self Inflicted Injuries,2012,Del Mar-Mira Mesa,56,34.98054207
Self Inflicted Injuries,2013,Del Mar-Mira Mesa,42,26.09019754
Self Inflicted Injuries,2010,El Cajon,82,65.84970207
Self Inflicted Injuries,2011,El Cajon,60,47.89922004
Self Inflicted Injuries,2012,El Cajon,90,71.40193737
Self Inflicted Injuries,2013,El Cajon,58,45.97446039
