CONDITION_,YEAR_,Geography,Total_Cases,Total_Rate
Suicide,2010,Alpine,,
Suicide,2011,Alpine,5,32.98370605
Suicide,2012,Alpine,,
Suicide,2013,Alpine,,
Suicide,2010,Anza-Borrego Springs,,
Suicide,2011,Anza-Borrego Springs,,
Suicide,2012,Anza-Borrego Springs,,
Suicide,2013,Anza-Borrego Springs,,
Suicide,2010,Carlsbad,11,9.589232164
Suicide,2011,Carlsbad,16,13.8102472
Suicide,2012,Carlsbad,15,12.77389357
Suicide,2013,Carlsbad,13,10.99523822
Suicide,2010,Central San Diego,23,13.89132155
Suicide,2011,Central San Diego,26,15.66585927
Suicide,2012,Central San Diego,37,22.17959477
Suicide,2013,Central San Diego,35,20.85816448
Suicide,2010,Chula Vista,9,7.810194908
Suicide,2011,Chula Vista,14,12.07802404
Suicide,2012,Chula Vista,9,7.718497809
Suicide,2013,Chula Vista,11,9.451714627
Suicide,2010,Coastal,11,14.59369818
Suicide,2011,Coastal,13,17.20600887
Suicide,2012,Coastal,16,21.08231326
Suicide,2013,Coastal,12,15.79155152
Suicide,2010,Coronado,,
Suicide,2011,Coronado,,
Suicide,2012,Coronado,8,34.50209169
Suicide,2013,Coronado,,
Suicide,2010,Del Mar-Mira Mesa,13,8.250353813
Suicide,2011,Del Mar-Mira Mesa,9,5.678878358
Suicide,2012,Del Mar-Mira Mesa,17,10.61909313
Suicide,2013,Del Mar-Mira Mesa,11,6.833146975
Suicide,2010,El Cajon,17,13.6517675
Suicide,2011,El Cajon,13,10.37816434
Suicide,2012,El Cajon,14,11.10696804
Suicide,2013,El Cajon,16,12.68260976
Suicide,2010,Elliott-Navajo,10,11.22258883
Suicide,2011,Elliott-Navajo,15,16.77383282
Suicide,2012,Elliott-Navajo,19,21.05076558
Suicide,2013,Elliott-Navajo,12,13.25454244
Suicide,2010,Escondido,20,12.26835806
Suicide,2011,Escondido,16,9.742493713
Suicide,2012,Escondido,18,10.8802089
Suicide,2013,Escondido,23,13.85884465
Suicide,2010,Fallbrook,8,16.91188906
Suicide,2011,Fallbrook,9,18.80013369
Suicide,2012,Fallbrook,10,20.761102
Suicide,2013,Fallbrook,12,24.77956512
Suicide,2010,Harbison Crest/El Cajon,30,21.55621502
Suicide,2011,Harbison Crest/El Cajon,23,16.4245826
Suicide,2012,Harbison Crest/El Cajon,18,12.77356723
Suicide,2013,Harbison Crest/El Cajon,24,17.00210401
Suicide,2010,Jamul,,
Suicide,2011,Jamul,,
